timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.0350985,0.025027
0,0.0240721,0.0246141
0,0.0515563,0.0242725
0,0.041532,0.0225038
0,0.0408045,0.0214248
0,0.0474994,0.0218228
0,0.0265644,0.022128
0,0.0274411,0.0235394
0,0.0498838,0.0226809
0,0.0192276,0.0237336
0,0.0404253,0.0224718
0,0.0445844,0.0217006
0,0.046956,0.0210053
0,0.0417931,0.0216661
0,0.0528776,0.0201595
0,0.0575703,0.0211217
0,0.0492242,0.0234643
0,0.0241084,0.0240091
0,0.0300557,0.0228617
0,0.0447608,0.0250956
0,0.0392233,0.0227343
0,0.0449731,0.0246107
0,0.049375,0.0225832
0,0.0380592,0.0207816
0,0.059728,0.0215157
0,0.0646818,0.0230249
0,0.0299152,0.0217121
0,0.0291068,0.0199675
0,0.0446196,0.0217978
0,0.0365236,0.0193743
0,0.0269679,0.0219612
0,0.0252515,0.0228068
0,0.0299229,0.0215422
0,0.042117,0.0202072
0,0.0667614,0.0194544
0,0.0409572,0.0207854
0,0.0394887,0.0210472
0,0.020798,0.0234249
0,0.0436148,0.0201402
0,0.0385868,0.0202942
0,0.0355663,0.0194526
0,0.0246445,0.0206906
0,0.0331477,0.0221659
0,0.0268351,0.0210665
0,0.0442908,0.0210376
0,0.0406288,0.0193811
0,0.0337186,0.0220878
0,0.0549096,0.0211314
0,0.0348342,0.0213385
0,0.0348187,0.022785
0,0.0234033,0.019911
0,0.0286432,0.0200067
0,0.0233398,0.0213838
0,0.0407637,0.0216524
0,0.0361625,0.0211494
0,0.0322115,0.0211039
0,0.0540708,0.0183499
0,0.0394768,0.0206929
0,0.0370746,0.021357
0,0.0417048,0.0203601
0,0.0213749,0.0195422
0,0.0650489,0.0184374
0,0.0423868,0.0209502
0,0.0589184,0.019613
0,0.0479832,0.0207363
0,0.048629,0.0206889
0,0.0363391,0.0198088
0,0.0333096,0.01911
0,0.0556016,0.0205952
0,0.0718146,0.0224733
0,0.0442414,0.0234309
0,0.0471964,0.0213844
0,0.0155255,0.0205163
0,0.0270174,0.0202462
0,0.0241575,0.0205083
0,0.0309344,0.0191871
0,0.0391681,0.019594
0,0.0538833,0.0183522
0,0.0381095,0.0198263
0,0.0438137,0.0205462
0,0.0193426,0.0179767
0,0.0597462,0.0197319
0,0.0267379,0.0220257
0,0.0208499,0.0205388
0,0.0399129,0.0193096
0,0.0331972,0.0225829
0,0.0558525,0.0221648
0,0.0587276,0.0208188
0,0.029406,0.0222798
0,0.0644169,0.0229733
0,0.0477584,0.0214692
0,0.0231709,0.0193302
0,0.0573639,0.0193179
0,0.013048,0.0196326
0,0.0368073,0.0210181
0,0.0839148,0.0186046
0,0.0373895,0.0195573
0,0.0329625,0.019503
0,0.046696,0.0199787
0,0.0419294,0.0186918
0,0.0247089,0.0176791
0,0.0354565,0.0181981
0,0.057165,0.0189614
0,0.0562155,0.0183421
